product,deal,price,span,url,img,store,state,postcode
Cadbury Dairy Milk Caramello Koala Chocolate Sharepack, 12 Each, $4.00,$4.00 was $5.00$0.33 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-caramello-koala-chocolate-sharepack-170000001061,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000001061.jpg",IGA,NSW,2060
Cadbury Dairy Milk Chocolate Block, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-chocolate-block-463075,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/463075.jpg",IGA,NSW,2060
Cadbury Dairy Milk Chocolate Gift Box, 220 Gram, $6.50,$6.50 was $12.00$2.95/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-chocolate-gift-box-918486,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/918486.jpg",IGA,NSW,2060
Cadbury Dairy Milk Coconut Rough Milk Chocolate Block, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-coconut-rough-milk-chocolate-block-463148,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/463148.jpg",IGA,NSW,2060
Cadbury Dairy Milk Crunchie Chocolate Block, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-crunchie-chocolate-block-462922,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/462922.jpg",IGA,NSW,2060
Cadbury Dairy Milk Freddo Milky Top Sharepack, 12 Each, $4.00,$4.00 was $5.00$0.33 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-freddo-milky-top-sharepack-873487,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/873487.jpg",IGA,NSW,2060
Cadbury Dairy Milk Freddo Sharepack, 12 Each, $4.00,$4.00 was $5.00$0.33 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-freddo-sharepack-873495,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/873495.jpg",IGA,NSW,2060
Cadbury Dairy Milk Freddo Strawberry, 12 Each, $4.00,$4.00 was $5.00$0.33 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-freddo-strawberry-941125,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/941125.jpg",IGA,NSW,2060
Cadbury Dairy Milk Fruit & Nut Milk Chocolate Block, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-fruit-&-nut-milk-chocolate-block-462972,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/462972.jpg",IGA,NSW,2060
Cadbury Dairy Milk Hazelnut Milk Chocolate Block, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-hazelnut-milk-chocolate-block-468148,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/468148.jpg",IGA,NSW,2060
Cadbury Dairy Milk Marble Chocolate Block, 173 Gram, $2.50,$2.50 was $5.00$1.45/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-marble-chocolate-block-820887,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/820887.jpg",IGA,NSW,2060
Cadbury Dairy Milk Marvellous Creations Jelly Popping Candy Chocolate Block, 190 Gram, $2.50,$2.50 was $5.00$1.32/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-marvellous-creations-jelly-popping-candy-chocolate-block-461976,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/461976.jpg",IGA,NSW,2060
Cadbury Dairy Milk Peppermint Chocolate Block, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-peppermint-chocolate-block-462126,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/462126.jpg",IGA,NSW,2060
Cadbury Dairy Milk Roast Almond Chocolate Block, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-roast-almond-chocolate-block-461879,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/461879.jpg",IGA,NSW,2060
Cadbury Dairy Milk Sharepack, 12 Each, $4.00,$4.00 was $5.00$0.33 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-sharepack-873518,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/873518.jpg",IGA,NSW,2060
Cadbury Dairy Milk Snack, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-snack-462529,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/462529.jpg",IGA,NSW,2060
Cadbury Dairy Milk Top Deck Chocolate Block, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-top-deck-chocolate-block-462906,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/462906.jpg",IGA,NSW,2060
Cadbury Dairy Milk Tropical Pineapple Milk Chocolate Block, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-tropical-pineapple-milk-chocolate-block-463017,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/463017.jpg",IGA,NSW,2060
Cadbury Dairy Milk Turkish Delight Milk Chocolate Block, 180 Gram, $2.50,$2.50 was $5.00$1.39/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-turkish-delight-milk-chocolate-block-468465,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/468465.jpg",IGA,NSW,2060
Cadbury Dairy Milk Vanilla Tub, 1.2 Litre, $6.50,$6.50 was $10.00$5.42/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cadbury-dairy-milk-vanilla-tub-132352,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/132352.jpg",IGA,NSW,2060
