web-scraper-order,web-scraper-start-url,products,products-href,product,desc,image-src,price,Detai1lDeal,Detail2Deal,Deal,save
"1660456739-449","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Sistema Klip It Plus Rectangle Container 400mL  on special half price","https://shop.coles.com.au/a/national/product/sistema-klip-it-plus-container-3793906p","Sistema","Klip It Plus Rectangle Container 400mL","/wcsstore/Coles-CAS/images/3/7/9/3793906.jpg","$
									1
									.62","$1.62 per 1Ea","null","Add
			
			Add
			1
			Sistema Klip It Plus Rectangle Container 400mL  on special half price
			for
			$1.62
			to the trolley.","save
										$1.63"
"1660456737-448","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Sistema Klip It Plus Rectangle Container 3.35 Litre  on special half price","https://shop.coles.com.au/a/national/product/sistema-klip-it-plus-container-3-35-litre","Sistema","Klip It Plus Rectangle Container 3.35 Litre","/wcsstore/Coles-CAS/images/3/7/9/3794465.jpg","$
									4
									.50","$4.50 per 1Ea","null","Add
			
			Add
			1
			Sistema Klip It Plus Rectangle Container 3.35 Litre  on special half price
			for
			$4.50
			to the trolley.","save
										$4.50"
"1660456761-457","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Coca-Cola No Sugar Soft Drink Multipack Bottles 12 x 300mL 12 pack on special","https://shop.coles.com.au/a/national/product/coca-cola-soft-drink-coke-zero-300ml-bottles","Coca-Cola","No Sugar Soft Drink Multipack Bottles 12 x 300mL","/wcsstore/Coles-CAS/images/1/4/9/1492374.jpg","$
									7
									.85","$2.18 per 1L","12 pack","Add
			
			Add
			1
			Coca-Cola No Sugar Soft Drink Multipack Bottles 12 x 300mL 12 pack on special
			for
			$7.85
			to the trolley.","save
										$7.85"
"1660456824-483","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Harpic Fresh Power Marine Splash Toilet Cleaner 700mL on special","https://shop.coles.com.au/a/national/product/harpic-fresh-power-toilet-cleaner-marine-splash","Harpic","Fresh Power Marine Splash Toilet Cleaner","/wcsstore/Coles-CAS/images/3/0/3/3035045.jpg","$
									3
									.00","$0.43 per 100mL","700mL","Add
			
			Add
			1
			Harpic Fresh Power Marine Splash Toilet Cleaner 700mL on special
			for
			$3.00
			to the trolley.","save
										$3.00"
"1660456772-462","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Poppin Butter Microwave Popcorn 400g on special half price","https://shop.coles.com.au/a/national/product/greens-poppin-popcorn-butter-microwave","Poppin","Butter Microwave Popcorn","/wcsstore/Coles-CAS/images/8/9/9/8997153.jpg","$
									3
									.07","$0.77 per 100G","400g","Add
			
			Add
			1
			Poppin Butter Microwave Popcorn 400g on special half price
			for
			$3.07
			to the trolley.","save
										$3.23"
"1660456790-469","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Sprite No Sugar Lemonade Soft Drink Multipack Bottles 12x300mL 12 pack on special","https://shop.coles.com.au/a/national/product/part_5192838P","Sprite","No Sugar Lemonade Soft Drink Multipack Bottles 12x300mL","/wcsstore/Coles-CAS/images/5/1/9/5192838.jpg","$
									7
									.85","$2.18 per 1L","12 pack","null","save
										$7.85"
"1660456828-485","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Steggles Frozen Southern Style Chicken Breast Tenders 400g on special","https://shop.coles.com.au/a/national/product/steggles-chicken-tenders-southern-style","Steggles","Frozen Southern Style Chicken Breast Tenders","/wcsstore/Coles-CAS/images/2/7/1/2719963.jpg","$
									4
									.75","$11.88 per 1Kg","400g","Add
			
			Add
			1
			Steggles Frozen Southern Style Chicken Breast Tenders 400g on special
			for
			$4.75
			to the trolley.","save
										$5.25"
"1660456746-451","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Finish Quantum Ultimate Pro Baking Soda 32 pack on special","https://shop.coles.com.au/a/national/product/finish-quantum-ultimate-pro-baking-soda","Finish","Quantum Ultimate Pro Baking Soda","/wcsstore/Coles-CAS/images/3/7/0/3701012.jpg","$
									18
									.00","$0.56 per 1Ea","32 pack","Add
			
			Add
			1
			Finish Quantum Ultimate Pro Baking Soda 32 pack on special
			for
			$18.00
			to the trolley.","save
										$18.00"
"1660456838-489","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Palmolive Aloe Vera Liquid Hand Wash 250mL on special","https://shop.coles.com.au/a/national/product/palmolive-hand-wash-liquid-softwash-aloe-vera-pump","Palmolive","Aloe Vera Liquid Hand Wash","/wcsstore/Coles-CAS/images/3/9/4/394880.jpg","$
									1
									.50","$0.60 per 100mL","250mL","Add
			
			Add
			1
			Palmolive Aloe Vera Liquid Hand Wash 250mL on special
			for
			$1.50
			to the trolley.","save
										$1.50"
"1660456749-452","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Colgate Total Advanced Fresh Multi Benefit Toothpaste 200g on special","https://shop.coles.com.au/a/national/product/colgate-total-advanced-fresh-toothpaste","Colgate","Total Advanced Fresh Multi Benefit Toothpaste","/wcsstore/Coles-CAS/images/3/4/0/3400912.jpg","$
									5
									.00","$2.50 per 100G","200g","Add
			
			Add
			1
			Colgate Total Advanced Fresh Multi Benefit Toothpaste 200g on special
			for
			$5.00
			to the trolley.","save
										$5.00"
"1660456782-466","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","The Spice Tailor Delicate Korma Curry 300g on special","https://shop.coles.com.au/a/national/product/the-spice-tailor-sauce-curry-delicate-korma","The Spice Tailor","Delicate Korma Curry","/wcsstore/Coles-CAS/images/1/3/3/1330168.jpg","$
									2
									.90","$0.97 per 100G","300g","null","save
										$2.90"
"1660456816-480","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Harpic Turquoise Power 6 Tropical Lagoon Scent 39g on special","https://shop.coles.com.au/a/national/product/harpic-itb-toilet-cleaner-turquoise-power","Harpic","Turquoise Power 6 Tropical Lagoon Scent","/wcsstore/Coles-CAS/images/3/2/2/3224944.jpg","$
									3
									.00","$7.69 per 100G","39g","null","save
										$3.00"
"1660456794-471","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Rimmel Kind & Free Foundation Vanilla 30mL on special half price","https://shop.coles.com.au/a/national/product/foundation-vanilla","Rimmel","Kind & Free Foundation Vanilla","/wcsstore/Coles-CAS/images/4/8/1/4819620.jpg","$
									10
									.00","$3.33 per 10mL","30mL","Add
			
			Add
			1
			Rimmel Kind & Free Foundation Vanilla 30mL on special half price
			for
			$10.00
			to the trolley.","save
										$10.00"
"1660456809-477","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Air Wick Essential Oils Candle Berry Blossom 1 pack on special","https://shop.coles.com.au/a/national/product/air-wick-essential-oils-candle-mountain-berry","Air Wick","Essential Oils Candle Berry Blossom","/wcsstore/Coles-CAS/images/3/4/1/3413437.jpg","$
									3
									.00","$3.00 per 1Ea","1 pack","Add
			
			Add
			1
			Air Wick Essential Oils Candle Berry Blossom 1 pack on special
			for
			$3.00
			to the trolley.","save
										$3.00"
"1660456785-467","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Peckish Sour Cream & Chives Rice Crackers 100g on special half price","https://shop.coles.com.au/a/national/product/peckish-rice-crackers-sour-cream-chives","Peckish","Sour Cream & Chives Rice Crackers","/wcsstore/Coles-CAS/images/9/9/9/9999358.jpg","$
									1
									.25","$1.25 per 100G","100g","Add
			
			Add
			1
			Peckish Sour Cream & Chives Rice Crackers 100g on special half price
			for
			$1.25
			to the trolley.","save
										$1.25"
"1660456777-464","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Green & Blacks Organic Maya Gold Spiced Orange Block Chocolate 90g on special half price","https://shop.coles.com.au/a/national/product/maya-gold-spiced-orange","Green & Blacks","Organic Maya Gold Spiced Orange Block Chocolate","/wcsstore/Coles-CAS/images/5/1/0/5100261.jpg","$
									2
									.25","$2.50 per 100G","90g","null","save
										$2.25"
"1660456768-460","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Babylove Unisex Stretchy Walker Nappy Pants 12-17 Kg Size 5 25 pack on special","https://shop.coles.com.au/a/national/product/babylove-nappy-pants-walker","Babylove","Unisex Stretchy Walker Nappy Pants 12-17 Kg Size 5","/wcsstore/Coles-CAS/images/1/0/0/1007071.jpg","$
									9
									.00","$0.36 per 1Ea","25 pack","Add
			
			Add
			1
			Babylove Unisex Stretchy Walker Nappy Pants 12-17 Kg Size 5 25 pack on special
			for
			$9.00
			to the trolley.","save
										$9.00"
"1660456831-486","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Colgate Plax Peppermint Dental Mouthwash 500mL on special","https://shop.coles.com.au/a/national/product/plax-peppermint-dental-rinse","Colgate","Plax Peppermint Dental Mouthwash","/wcsstore/Coles-CAS/images/7/1/9/7190174.jpg","$
									3
									.50","$0.70 per 100mL","500mL","Add
			
			Add
			1
			Colgate Plax Peppermint Dental Mouthwash 500mL on special
			for
			$3.50
			to the trolley.","save
										$3.50"
"1660456811-478","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Simple Kind To Skin Biodegradable Facial Wipes 25 Pack on special half price","https://shop.coles.com.au/a/national/product/simple-kind-skin-facial-wipes-biodegradable","Simple","Kind To Skin Biodegradable Facial Wipes","/wcsstore/Coles-CAS/images/3/4/4/3445499.jpg","$
									4
									.00","$0.16 per 1Ea","25 Pack","Add
			
			Add
			1
			Simple Kind To Skin Biodegradable Facial Wipes 25 Pack on special half price
			for
			$4.00
			to the trolley.","save
										$4.00"
"1660456779-465","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Harpic Scent Of Adventure In Bowl Toilet Cleaner Blueberry  on special","https://shop.coles.com.au/a/national/product/itb-blueberry","Harpic","Scent Of Adventure In Bowl Toilet Cleaner Blueberry","/wcsstore/Coles-CAS/images/5/1/4/5145645.jpg","$
									3
									.00","$3.00 per 1Ea","null","null","save
										$3.00"
