web-scraper-order,web-scraper-start-url,products,products-href,product,desc,image-src,price,Detai1lDeal,Detail2Deal
"1660452826-124","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Palmolive Naturals Active Nourishment Conditioner 350mL on special half price","https://shop.coles.com.au/a/national/product/conditioner-act-nourish","Palmolive","Naturals Active Nourishment Conditioner","/wcsstore/Coles-CAS/images/3/9/7/3978570.jpg","$
									2
									.25","$0.64 per 100mL","350mL"
"1660452847-133","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Naturopathica Fat Blaster Less Sugar Vanilla Shake 430g on special","https://shop.coles.com.au/a/national/product/naturopathica-fat-blaster-less-sugar-vanilla-shake","Naturopathica","Fat Blaster Less Sugar Vanilla Shake","/wcsstore/Coles-CAS/images/3/1/3/3139200.jpg","$
									11
									.00","$2.56 per 100G","430g"
"1660452842-131","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Harpic Turquoise Power 6 Tropical Lagoon Scent 39g on special","https://shop.coles.com.au/a/national/product/harpic-itb-toilet-cleaner-turquoise-power","Harpic","Turquoise Power 6 Tropical Lagoon Scent","/wcsstore/Coles-CAS/images/3/2/2/3224944.jpg","$
									3
									.00","$7.69 per 100G","39g"
"1660452790-110","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Bulla Frozen Icecream Vanilla Cream Choc Bars 10 Pack 768mL on special","https://shop.coles.com.au/a/national/product/bulla-ice-cream-choc-bars-vanilla-768ml","Bulla","Frozen Icecream Vanilla Cream Choc Bars 10 Pack","/wcsstore/Coles-CAS/images/5/9/3/5938974.jpg","$
									3
									.75","$0.49 per 100mL","768mL"
"1660452773-103","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Colgate Total Advanced Fresh Multi Benefit Toothpaste 200g on special","https://shop.coles.com.au/a/national/product/colgate-total-advanced-fresh-toothpaste","Colgate","Total Advanced Fresh Multi Benefit Toothpaste","/wcsstore/Coles-CAS/images/3/4/0/3400912.jpg","$
									5
									.00","$2.50 per 100G","200g"
"1660452795-112","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Arnott's Mini Chocolate Wagon Wheels 190g on special half price","https://shop.coles.com.au/a/national/product/arnotts-biscuits-wagon-wheels-mini-chocolate","Arnott's","Mini Chocolate Wagon Wheels","/wcsstore/Coles-CAS/images/8/7/0/8707049.jpg","$
									2
									.00","$1.05 per 100G","190g"
"1660452792-111","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Babylove Unisex Stretchy Walker Nappy Pants 12-17 Kg Size 5 25 pack on special","https://shop.coles.com.au/a/national/product/babylove-nappy-pants-walker","Babylove","Unisex Stretchy Walker Nappy Pants 12-17 Kg Size 5","/wcsstore/Coles-CAS/images/1/0/0/1007071.jpg","$
									9
									.00","$0.36 per 1Ea","25 pack"
"1660452806-117","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","The Spice Tailor Delicate Korma Curry 300g on special","https://shop.coles.com.au/a/national/product/the-spice-tailor-sauce-curry-delicate-korma","The Spice Tailor","Delicate Korma Curry","/wcsstore/Coles-CAS/images/1/3/3/1330168.jpg","$
									2
									.90","$0.97 per 100G","300g"
"1660452770-102","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Finish Quantum Ultimate Pro Baking Soda 32 pack on special","https://shop.coles.com.au/a/national/product/finish-quantum-ultimate-pro-baking-soda","Finish","Quantum Ultimate Pro Baking Soda","/wcsstore/Coles-CAS/images/3/7/0/3701012.jpg","$
									18
									.00","$0.56 per 1Ea","32 pack"
"1660452778-105","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Sukin Signature Facial Moisturiser Pump 125mL on special half price","https://shop.coles.com.au/a/national/product/sukin-facial-moisturiser-pump","Sukin","Signature Facial Moisturiser Pump","/wcsstore/Coles-CAS/images/2/9/9/2994458.jpg","$
									7
									.50","$6.00 per 100mL","125mL"
